Bond_id,Coupon,Yield
556,4.428,3.051
557,3.8,3.3515
558,3.7,2.9357
559,4.693,3.473
560,3.76,2.806
561,4.3,3.225
562,3.72,2.696
563,4.95,3.6653
564,4.626,2.776
565,5.375,3.5175
566,3.827,2.796
567,5,3.2049
568,4.013,2.676
569,5.017,3.013
570,4.198,2.743
571,4.5,3.383
572,4.4,3.0956
573,4.7,3.0956
574,4.683,1.276
575,5.1,3.286
576,4.7,3.183
577,5.125,3.3998
578,5.45,4.0693
579,5.95,4.0578
580,4.875,3.614
581,4.85,2.9935
582,5.2,2.936
583,4.95,2.9154
584,4.375,2.944
585,5.25,3.213
586,4.75,3.1144
587,5.72,2.9587
588,5.95,3.8353
589,4.85,2.7464
590,5.75,3.6177
591,5.765,2.943
592,6,3.4973
593,6,3.419
594,5.375,3.3276
595,5.95,2.895
596,6.15,3.1309
597,5,3.949
598,5.5,3.3974
599,4.875,2.466
600,5.05,3.0314
601,4.875,2.7735
602,5.7,2.8793
603,4.9,2.5831
604,5.9,3.5235
605,6.2,4.0685
606,6.25,5.5622
607,5.4,3.9801
608,5.8,3.4399
609,4.875,3.0519
610,5.4,3.2213
611,4.875,2.673
612,5.9,.
613,5.42,2.0571
614,5.8,3.2598
615,5.55,3.0181
616,6.4,2.8212
617,6.5,3.523
618,6.375,3.4942
619,7.375,3.2681
620,6.75,5.8697
621,5.5,3.2987
622,5.75,3.793
623,6.125,3.2806
624,5.75,3.1948
625,5.25,2.8535
626,5.85,2.9198
627,6.55,2.8409
628,6,3.419
629,6.125,2.9634
630,7.35,3.836
631,6.625,3.6705
632,6.5,3.0173
633,5.95,2.8059
634,5.875,2.996
635,10.2,4.342
636,6.4,3.1962
637,5.7,3.0792
638,7.45,3.392
639,9.95,4.296
640,8.95,3.686
641,7,4.023
642,6.95,3.8576
643,6.95,3.858
644,8.15,3.3574
645,8.7,3.5708
646,6.9,3.3159
647,6.875,3.7003
648,6.25,3.2409
649,6.4,3.576
650,6.4,2.7939
651,6.125,3.07
652,6.9,3.206
653,7.7,3.4274
654,6.6,3.4624
655,6.4,3.386
656,5.625,2.436
657,6.875,3.7003
658,6.45,3.263
659,7.15,3.7573
660,6.25,3.1109
661,7,5.9016
662,6.25,3.0639
663,6.158,4.483
664,6.55,3.3199
665,6.875,4.388
666,6.45,3.4999
667,6.165,4.243
668,6.875,4.4539
669,6.625,3.2079
670,6.65,3.2998
671,6.5,3.606
672,6.45,3.6015
673,7,3.7003
674,7.5,3.1276
675,7.6,5.2486
676,6.259,3.083
677,7,3.6441
678,6.95,3.6371
679,6.65,5.9789
680,6,2.7108
681,6.25,3.5888
682,6.625,3.623
683,6.625,3.4906
684,6.25,3.336
685,6.85,3.413
686,5.375,2.315
687,6.45,3.5506
688,6.45,3.551
689,5.875,2.7075
690,6.55,3.417
691,5.75,2.6951
